headline,network,date,overall_duration,title,program_id,timestamps,start_time,end_time,duration,description,reporters
ABC Evening News for 2018-10-01,ABC,2018-10-01,29 minutes long,Preview/Introduction	David Muir (New York),1130528,05:30:00 pm — 05:31:30 pm,17:30:00,17:31:30,90,,[]
ABC Evening News for 2018-10-01,ABC,2018-10-01,29 minutes long,Supreme Court / Kavanaugh Nomination / After Sedate Hearings / FBI Investigation,1130529,05:31:30 pm — 05:40:20 pm,17:31:30,17:40:20,530,"(Studio: David Muir)  Report introduced.  

(White House: Cecilia Vega)  The new message from President Trump about the FBI investigation of Supreme Court nominee Brett Kavanaugh featured; scenes shown from the Rose Garden where Trump wanted to talk about trade deals with Canada & Mexico.  [In response to Vega questions, TRUMP&nbsp- tells the reporter she's not thinking; says he wants to talk trade first; states let the Senate & FBI decide what to do & he is instructing so.]  [Sept. 27, Brett KAVANAUGH&nbsp- testifies about his beer drinking; asks Senator Amy Klobuchar if she blacks out.]  [TRUMP&nbsp- answers questions about Kavanaugh talking about beer.]  What Trump is saying about the brief FBI investigation before a vote this week discussed,  

(Studio: David Muir)  Report introduced.  

(FBI, Washington: Pierre Thomas)  What has been learned about the FBI investigation with Mark Judge, whom Ford said was in the room during the assault, featured; details given about Judge's book ""Wasted"" & allegations from Yale classmate Deborah Ramirez, the FBI interviews with Ramirez & P.J. Smyth.  [Sept. 27, FORD&nbsp- testifies about Judge, who worked at the time at Safeway.]  [Senator Lindsey GRAHAM&nbsp- talks about interviewing just four people.]  [Today, Senator Jeff FLAKE&nbsp- wants a real investigation.]  A statement to the ""New York Times""  from Yale classmate Chad Ludington about Kavanaugh's drinking & a statement from Yale classmate Dan Murphy quoted.  Ford's allegations discussed. ","['David Muir', 'Cecilia Vega', 'David Muir', 'Pierre Thomas']"
ABC Evening News for 2018-10-01,ABC,2018-10-01,29 minutes long,Indonesia / Earthquake ,1130530,05:40:20 pm — 05:42:30 pm,17:40:20,17:42:30,130,"(Studio: David Muir)  Report introduced.  

(Jakarta, Indonesia: James Longman)  The impact of an earthquake & tsunami on Indonesia featured; scenes shown from the island of bodies, debris, rescues, flooded areas, mass graves, survivors in line for supplies.  [In Palu, Sky News correspondent Siobhan ROBBINS- shows the force of the tsunami.]   ","['David Muir', 'James Longman']"
ABC Evening News for 2018-10-01,ABC,2018-10-01,29 minutes long,"Las Vegas, Nevada / Shooting Massacre / First Anniversary",1130531,05:42:30 pm — 05:44:40 pm,17:42:30,17:44:40,130,"(Studio: David Muir)  Report introduced.  

(Las Vegas: Matt Gutman)  A look at rifle bump stocks on the first anniversary of the shooting massacre in Las Vegas presented; scenes shown from inside the hotel.  [August 3, Las Vegas Metropolitan Police Sheriff Joe LOMBARDO- talks about shooter Stephen Paddock.]  [Shooting victims Todd WIENKE, Osha COLLINS-WATERS- comment on the shooting & getting married in Las Vegas on October 1.]  A statement from President Trump about bump stocks discussed. ","['David Muir', 'Matt Gutman']"
ABC Evening News for 2018-10-01,ABC,2018-10-01,29 minutes long,Trump / Trade Deal,1130532,05:44:40 pm — 05:45:30 pm,17:44:40,17:45:30,50,(Studio: David Muir)  President Trump's new North American trade agreement with Mexico & Canada reported; scenes shown of trade tenets of the agreement.  [TRUMP&nbsp- speaks about this landmark agreement.]  The praise from Senator Chuck Schumer noted. ,['David Muir']
ABC Evening News for 2018-10-01,ABC,2018-10-01,29 minutes long,"Allentown, Pennsylvania / Car Explosion",1130533,05:45:30 pm — 05:45:50 pm,17:45:30,17:45:50,20,"(Studio: Tom Llamas)  Report introduced.  

(New York: Zachary Kiesch)  The mystery car explosion in Allentown, Pennsylvania, that killed three reported; scenes shown of the car on fire.   ","['Tom Llamas', 'Zachary Kiesch']"
ABC Evening News for 2018-10-01,ABC,2018-10-01,29 minutes long,Upcoming Items & COMMERCIALS: UHC; Dr. Scholl's; Las Vegas; Tremfya; ,1130534,05:45:50 pm — 05:48:20 pm,17:45:50,17:48:20,150,,[]
ABC Evening News for 2018-10-01,ABC,2018-10-01,29 minutes long,Micronesia / Plane Crash,1130535,05:48:20 pm — 05:49:30 pm,17:48:20,17:49:30,70,"(Studio: David Muir)  Report introduced.  

(Washington airport: David Kerley)  The rescues by a US Navy team of survivors of the plane crash into a lagoon in Micronesia reviewed; scenes shown from the water & inside the plane & divers later inspecting the underwater wreckage.  [Voice of Navy CPO Erich WEBER- comments on helping out & retrieving the black boxes.] ","['David Muir', 'David Kerley']"
ABC Evening News for 2018-10-01,ABC,2018-10-01,29 minutes long,Upcoming Items & COMMERCIALS: Boost; Humira; Consumer Cellular; Prudential; Alka-Seltzer; 1-800-quit-now.,1130536,05:49:30 pm — 05:52:50 pm,17:49:30,17:52:50,200,,[]
ABC Evening News for 2018-10-01,ABC,2018-10-01,29 minutes long,Index of Other News,1130537,05:52:50 pm — 05:53:30 pm,17:52:50,17:53:30,40,"(Studio: David Muir)  A brief look at news stories with video often shown: the manhunt in Tennessee for fugitive Kirby Wallace; the death of Georgia high school football player Dylan Thomas from a brain injury; two plane crashes at the airport in La Verne, California. ",['David Muir']
