headline,network,date,overall_duration,title,program_id,timestamps,start_time,end_time,duration,description,reporters
ABC Evening News for 2018-01-01,ABC,2018-01-01,29 minutes long,Preview/Introduction	Tom Llamas (New York),1119334,05:30:00 pm — 05:31:20 pm,17:30:00,17:31:20,80,,[]
ABC Evening News for 2018-01-01,ABC,2018-01-01,29 minutes long,Winter Weather / Cold,1119335,05:31:20 pm — 05:36:00 pm,17:31:20,17:36:00,280,"(Studio: Tom Llamas)  Report introduced.  

(New York: Erielle Reshef)  The cold New Year's Day weather featured; scenes shown from Philadelphia, a house fire in Lincoln, Nebraska, crowds in Times Square in New York City, a slipping police officer in Dallas, car wrecks in Michigan, snow in Erie, Pennsylvania.  The record cold weather in New York City discussed.  

(Studio: Tom Llamas, Ginger Zee)  The cold weather forecast with a storm coming in the East discussed; temperature maps shown. ","['Tom Llamas', 'Erielle Reshef', 'Tom Llamas, Ginger Zee']"
ABC Evening News for 2018-01-01,ABC,2018-01-01,29 minutes long,Costa Rica / Plane Crash,1119336,05:36:00 pm — 05:36:50 pm,17:36:00,17:36:50,50,"(Studio: Tom Llamas)  Report introduced.  

(New York: Adrienne Bankert)  The investigation of the deadly small plane crash in Costa Rica featured; scenes from the crash site & photos of Americans {the Weiss & Steinberg families} on the flight shown; details given about area winds.  [American WITNESS&nbsp- describe what happened.]  [Family FRIEND, Weiss family neighbor Spencer HORNBSBY- react to the news.] ","['Tom Llamas', 'Adrienne Bankert']"
ABC Evening News for 2018-01-01,ABC,2018-01-01,29 minutes long,Colorado / Shooting of Police,1119337,05:36:50 pm — 05:38:40 pm,17:36:50,17:38:40,110,"(Studio: Tom Llamas)  Report introduced.  

(Highlands Ranch: Clayton Sandell)   The deadly shooting  ambush Sunday of police in Colorado with deputy Zackari Parrish killed featured; scenes from an apartment complex in Highlands Ranch {with bullet holes} with dispatch audio played & photos of the dead, wounded officers & shooter Matthew Riehl shown; details given about Riehl's history of rants & his military background.  [Former counterterrorism official Steve GOMEZ- talks about the mental health issues factor.] ","['Tom Llamas', 'Clayton Sandell']"
ABC Evening News for 2018-01-01,ABC,2018-01-01,29 minutes long,Iran / Protests,1119338,05:38:40 pm — 05:40:00 pm,17:38:40,17:40:00,80,"(Studio: Tom Llamas)  Report introduced.  

(London: James Longman)  The fifth day of anti-government  protests in Iran reviewed; scenes shown; tweet from President Trump about Iran quoted. ","['Tom Llamas', 'James Longman']"
ABC Evening News for 2018-01-01,ABC,2018-01-01,29 minutes long,North Korea / Nuclear Threat / Trump,1119339,05:40:00 pm — 05:42:00 pm,17:40:00,17:42:00,120,"(Studio: Tom Llamas)  Report introduced.  

(West Palm Beach, Florida: David Wright)  The challenges for President Trump after his Florida vacation with North Korean leader Kim Jong Un making a threat against the US examined; Kim quoted.  [Last night, at Mar-A-Lago, TRUMP&nbsp- says our enemies are being defeated: they are bad people.]  [Aug. 8, TRUMP&nbsp- makes ""fire & fury"" speech.]  [On ""This Week,"" former Joint chief of Staff chairman retired Adm. Mike ULLEN- says we are close to a nuclear war with North Korea.] ","['Tom Llamas', 'David Wright']"
ABC Evening News for 2018-01-01,ABC,2018-01-01,29 minutes long,Miss America Pageant / Carlson,1119340,05:42:00 pm — 05:43:40 pm,17:42:00,17:43:40,100,"(Studio: Tom Llamas)  Report introduced.  

(New Rochelle, New York: Linsey Davis)  The takeover of the Miss America Pageant by former Fox host Gretchen Carlson after the organization was hit by a sexism scandal examined; details given about the resignation of CEO Sam Haskell over leaked e-mails.  [Former Miss America Mallory HAGEN†- talks about being bullied.]  [About Fox, CARLSON - calls for a safer environment.]  A new initiative called Times Up with 300 women in Hollywood working to help women against sexual misconduct noted.","['Tom Llamas', 'Linsey Davis']"
ABC Evening News for 2018-01-01,ABC,2018-01-01,29 minutes long,California / Legal Marijuana,1119341,05:43:40 pm — 05:45:10 pm,17:43:40,17:45:10,90,"(Studio: Tom Llamas)  Report introduced.  

(Santa Ana, California: Matt Gutman)  The legalization in California of marijuana for adults featured; scenes shown from dispensaries; revenue statistics cited.  [BUYER, SELLER&nbsp- comment.]  [California Highway Patrol Jonathan SLOAT- worries.] ","['Tom Llamas', 'Matt Gutman']"
ABC Evening News for 2018-01-01,ABC,2018-01-01,29 minutes long,Upcoming Items & COMMERCIALS: Walgreens; Pom Wonderful; Polident; Aleve; Nutrisystem.,1119342,05:45:10 pm — 05:47:40 pm,17:45:10,17:47:40,150,,[]
ABC Evening News for 2018-01-01,ABC,2018-01-01,29 minutes long,You r Money (Air Fares),1119343,05:47:40 pm — 05:49:00 pm,17:47:40,17:49:00,80,"(Studio: Tom Llamas)  Report introduced.  

(Studio: Rebecca Jarvis)  Tips on finding the cheapest air fares in 2018 presented; sample airplane fares cited.  [Travel expert Brandon PRESSER- talks fare deals; lists travel Websites.]  The sites Hitmunk & Hopper mentioned. ","['Tom Llamas', 'Rebecca Jarvis']"
ABC Evening News for 2018-01-01,ABC,2018-01-01,29 minutes long,Upcoming Items & COMMERCIALS: Lyrica; Allstate; Meta; Publishers Clearing House; Alka-Seltzer; Prevagen; MiraLAX.,1119344,05:49:00 pm — 05:52:30 pm,17:49:00,17:52:30,210,,[]
ABC Evening News for 2018-01-01,ABC,2018-01-01,29 minutes long,Index,1119345,05:52:30 pm — 05:53:10 pm,17:52:30,17:53:10,40,"(Studio: Tom Llamas)  A brief look at news stories with video/phots often shown: the shooting of police officers at a party in Tennessee; an Amber alert for two missing girls in central Texas with Terry Miles sought; a dramatic rescue of a car driver from Florida waters; a massive car garage fire in Liverpool, England. ",['Tom Llamas']
ABC Evening News for 2018-01-01,ABC,2018-01-01,29 minutes long,Upcoming Items & COMMERCIALS: Aleve; Centrum; Fidelity Investments; Boost; Alka-Seltzer; Farxiga; Phillips' Digestive Health; News 2.,1119346,05:53:10 pm — 05:57:20 pm,17:53:10,17:57:20,250,,[]
ABC Evening News for 2018-01-01,ABC,2018-01-01,29 minutes long,America Strong (Eric Harding),1119347,05:57:20 pm — 05:58:40 pm,17:57:20,17:58:40,80,"(Studio: Tom Llamas)  Report introduced.  

(Washington: Gloria Riviera)  The story of Eric Harding, now famous for playing his piano in a flooded house after Hurricane Harvey in Friendswood, Texas, presented; scenes shown of the video that went viral; tweet from singer Vanessa Carlton offering to replace the piano quoted.  [HARDING&nbsp- comments.] ","['Tom Llamas', 'Gloria Riviera']"
ABC Evening News for 2018-01-01,ABC,2018-01-01,29 minutes long,Good Night ,1119348,05:58:40 pm — 05:58:40 pm,17:58:40,17:58:40,0,,[]
ABC Evening News for 2018-01-02,ABC,2018-01-02,29 minutes long,Preview/Introduction	David Muir (New York),1119349,05:30:00 pm — 05:31:10 pm,17:30:00,17:31:10,70,,[]
ABC Evening News for 2018-01-02,ABC,2018-01-02,29 minutes long,Winter Weather / Storm,1119350,05:31:10 pm — 05:35:00 pm,17:31:10,17:35:00,230,"(Studio: David Muir)  A weather maps of an approaching East coast storm shown.    

(New York: Gio Benitez)  The impact of a monster storm on roads, schools, water mains & accidents reviewed; scenes shown of a chain reaction crash near Buffalo that shut down a major highway, slick Baltimore & Houston with a Dallas police officer slipping on ice, a car rescue in a pond in Indianapolis, a fire in Bronx, New York City.  [MOTORIST&nbsp- comments.]  [Everett public schools Supt. Frederick FORESTEIRE- explains closing schools.]  

(Studio: David Muir, Ginger Zee)  The wintry weather with the coastal storm with snow & wind discussed; weather maps shown.  ","['David Muir', 'Gio Benitez', 'David Muir, Ginger Zee']"
ABC Evening News for 2018-01-02,ABC,2018-01-02,29 minutes long,"Trump / Justice Department, Aviation",1119351,05:35:00 pm — 05:37:40 pm,17:35:00,17:37:40,160,"(Studio: David Muir)  Report introduced.  

(White House: Cecilia Vega)  The criticism of the Justice Department as a deep state by President Trump featured; tweet on a ""deep state"" quoted; details given about the Justice investigation of the Hillary Clinton e-mail probe.  [White House press secretary Sarah Huckabee SANDERS&nbsp- answers questions about his comments on the Justice Department & a ""deep state""]  Another tweet about commercial aviation & no deaths under his administration discussed. ","['David Muir', 'Cecilia Vega']"
ABC Evening News for 2018-01-02,ABC,2018-01-02,29 minutes long,Hatch Retirement,1119352,05:37:40 pm — 05:38:20 pm,17:37:40,17:38:20,40,(Studio: David Muir)  The announcement of the retirement of Republican Senator Orrin Hatch & whether Mitt Romney will run for that seat reported; President Trump's tweet quoted. ,['David Muir']
ABC Evening News for 2018-01-02,ABC,2018-01-02,29 minutes long,Iran / Protests,1119353,05:38:20 pm — 05:39:50 pm,17:38:20,17:39:50,90,"(Studio: David Muir)  Report introduced.  

(London: Terry Moran)  The ongoing protests in Iran with the supreme leader blaming the enemies of Iran reviewed; unrest video & photos shown; President Trump's tweet supporting the protest quoted; details given about the economic background to the demonstrations.  [US Ambassador to U.N. Nikki HALEY . &nbsp- says we must not be silent.] ","['David Muir', 'Terry Moran']"
ABC Evening News for 2018-01-02,ABC,2018-01-02,29 minutes long,North Korea-South Korea Relations,1119354,05:39:50 pm — 05:40:00 pm,17:39:50,17:40:00,10,(Studio: David Muir)  The statement from North Korean leader Kim Jong Un about nuclear politics & his offer to have a dialogue with South Korea reported. ,['David Muir']
ABC Evening News for 2018-01-02,ABC,2018-01-02,29 minutes long,Colorado / Shooting of Police,1119355,05:40:00 pm — 05:41:50 pm,17:40:00,17:41:50,110,"(Studio: David Muir)  Report introduced.  

(Highlands Ranch: Clayton Sandell)  New details on the deadly shooting ambush Sunday by Matthew Riehl of police in Colorado with deputy Zackari Parrish killed featured; still images from an apartment complex in Highlands Ranch & photos of four wounded officers shown.  [Neighbor Farouk PATEO- describes what happened in the shooting.]  [Widow Gracie PARRISH- addresses the community.] ","['David Muir', 'Clayton Sandell']"
ABC Evening News for 2018-01-02,ABC,2018-01-02,29 minutes long,Texas / Missing Sisters,1119356,05:41:50 pm — 05:43:10 pm,17:41:50,17:43:10,80,"(Studio: David Muir)  Report introduced.  

(Dallas: Marcus Moore)  The desperate manhunt in Texas for missing sisters, Lilianais Griffith & Luluvioletta Bandera-Magret, taken ky Terry Miles after mother Tonya Bates was found dead in Round Rock featured; photos shown; details given about the AMBER alert on the girls.  [Round Rock police dept. Chief Allan BANKS- comments on what happened.]  Miles's past problems with the law noted. ","['David Muir', 'Marcus Moore']"
ABC Evening News for 2018-01-02,ABC,2018-01-02,29 minutes long,Costa Rica / Plane Crash,1119357,05:43:10 pm — 05:44:40 pm,17:43:10,17:44:40,90,"(Studio: David Muir)  Report introduced.  

(Los Angeles: Kayna Whitworth)  The tragic New Year's Eve crash in Coast Rica of a small charter plane killing two American families, the Whites & Steinbergs, & tour guide Amanda Geisler, examined; crash site shown.  [White RELATIVE, Steinberg friend Robin SHAINBERG- lament loss.] ","['David Muir', 'Kayna Whitworth']"
ABC Evening News for 2018-01-02,ABC,2018-01-02,29 minutes long,Afghanistan / Soldier Killed,1119358,05:44:40 pm — 05:45:00 pm,17:44:40,17:45:00,20,(Studio: David Muir)  The death of an American service member in Afghanistan reported; map shown. ,['David Muir']
ABC Evening News for 2018-01-02,ABC,2018-01-02,29 minutes long,Upcoming Items & COMMERCIALS: Aleve; TD Ameritrade; Purina; Gillette; Carfax; Pom Wonderful.,1119359,05:45:00 pm — 05:47:30 pm,17:45:00,17:47:30,150,,[]
ABC Evening News for 2018-01-02,ABC,2018-01-02,29 minutes long,Your Money (Heating Bills),1119360,05:47:30 pm — 05:49:10 pm,17:47:30,17:49:10,100,"(Studio: David Muir)  Report introduced.  

(Studio: Rebecca Jarvis)  How much money you can save on your heating bills by lowering the thermostat one degree examined; statistics cited; scenes shown from last year in Ridgewood, New Jersey, to show the Friedmans how to save on heating.  [Energy expert Scott FISHER, Mrs. FRIEDMAN&nbsp- comments on saving.]  More tips discussed. ","['David Muir', 'Rebecca Jarvis']"
ABC Evening News for 2018-01-02,ABC,2018-01-02,29 minutes long,Upcoming Items & COMMERCIALS: Humira; Alka-Seltzer; Prevagen; Eliquis; Depend.,1119361,05:49:10 pm — 05:52:30 pm,17:49:10,17:52:30,200,,[]
ABC Evening News for 2018-01-02,ABC,2018-01-02,29 minutes long,Index,1119362,05:52:30 pm — 05:53:40 pm,17:52:30,17:53:40,70,(Studio: David Muir)  A brief look at news stories with video often shown: a fireworks explosion in a car trunk in Houston; the admission from former ice skater Tonya Harding about he plan to attack rival Nancy Kerrigan; the injury to country singer Carrie Underwood from a fall. ,['David Muir']
ABC Evening News for 2018-01-02,ABC,2018-01-02,29 minutes long,"Upcoming Items & COMMERCIALS: Publishers Clearing House Alka-Seltzer; PreserVision; Nexium; Fidelity Investments; Viberzi; Zzzquil; News 2; ""World News Tonight""",1119363,05:53:40 pm — 05:57:40 pm,17:53:40,17:57:40,240,,[]
ABC Evening News for 2018-01-02,ABC,2018-01-02,29 minutes long,Lotteries Prizes,1119364,05:57:40 pm — 05:58:50 pm,17:57:40,17:58:50,70,"(Studio: David Muir)  Report introduced.  

(New York: Linsey Davis)  The jackpots in the MegaMillions & Powerball Lotteries examined.  [On the street, several PEOPLE.&nbsp- explain how they would spend the money.] ","['David Muir', 'Linsey Davis']"
ABC Evening News for 2018-01-02,ABC,2018-01-02,29 minutes long,Good Night,1119365,05:58:50 pm — 05:58:50 pm,17:58:50,17:58:50,0,,[]
CNN Evening News for 2018-01-02,CNN,2018-01-02,about 1 hour long,Introduction/Preview	Anderson Cooper (New York),1119366,07:00:00 pm — 07:00:10 pm,19:00:00,19:00:10,10,,[]
CNN Evening News for 2018-01-02,CNN,2018-01-02,about 1 hour long,"North Korea-US Relations / Kim & Trump / Chang, Himes Interviews",1119367,07:00:10 pm — 07:14:30 pm,19:00:10,19:14:30,860,"(Studio: Anderson Cooper; White House: Jeff Zeleny)  The escalating statements between North Korean leader Kim Jong Un & President Trump about their respective nuclear buttons following recent diplomatic moves by the US discussed; Trump tweet quoted.  

(Studio: Anderson Cooper)  Live discussion held with ""Daily Beast"" columnist Gordon Chang about the Trump tweet, North Korea, diplomacy & China.  [CHANG&nbsp- offers views on what Trump should be talking about rather than this step backwards {the tweet} that makes no sense, the prospects for diplomacy after the sanctions go further into effect, what Kim said about the impact of sanctions, how North Korea is talking to South Korea  to drive a wedge between the two allies, why China does not want a unified Korea.]  

(Studio: Anderson Cooper)  Live interview held with Representative Jim Himes about Trump's rhetoric.  [HIMES&nbsp- offers views on Trump's tweet goading the North Korean leader, what Trump said {""madness""} about the Justice Department, how Trump is playing infantile games about nuclear button size, Kim's seeming softening of his stance on South Korea, what ""negotiation theory"" suggests should be done, but this tweet is the opposite.] ","['Anderson Cooper; White House', 'Anderson Cooper', 'Anderson Cooper']"
CNN Evening News for 2018-01-02,CNN,2018-01-02,about 1 hour long,"Upcoming Items & COMMERCIALS: USAA; ZipRecruiter; ""Hostiles""; Coricidin; Entresto.",1119368,07:14:30 pm — 07:17:10 pm,19:14:30,19:17:10,160,,[]
CNN Evening News for 2018-01-02,CNN,2018-01-02,about 1 hour long,North Korea-US Relations / Kim & Trump / A Discussion,1119369,07:17:10 pm — 07:23:40 pm,19:17:10,19:23:40,390,"(Studio: Anderson Cooper)  Live discussion held with CNN's ""Daily Beast"" columnist Gordon Chang & David Gergen about the tweet from President Trump about nuclear buttons & North Korea.  [GERGEN&nbsp- offers views on the Trump nuclear button rhetoric in response to North Korea reaching out to South Korea, the concern we are edging closer to conflict so we need a cool head in the White House while Trump's macho outbursts are unsettling, how what the president says represents policy since Secretary of State Rex Tillerson is close to leaving.]  [CHANG&nbsp- offers views that North Korean past incidents that could lead to something horrible with the Olympic Games coming up after the overtire to South Korea.] ",['Anderson Cooper']
CNN Evening News for 2018-01-02,CNN,2018-01-02,about 1 hour long,"Upcoming Items & COMMERCIALS: Dubai; Pom Wonderful; FractVideo; Aleve; ""Cuomo Prime Time""; ""Trophy""; beaches.com; Sleep Number.",1119370,07:23:40 pm — 07:27:10 pm,19:23:40,19:27:10,210,,[]
