headline,network,date,overall_duration,title,program_id,timestamps,start_time,end_time,duration,description,reporters
ABC Evening News for 2018-04-01,ABC,2018-04-01,29 minutes long,Preview/Introduction	Tom Llamas (New York),1122697,05:30:00 pm — 05:31:10 pm,17:30:00,17:31:10,70,,[]
ABC Evening News for 2018-04-01,ABC,2018-04-01,29 minutes long,Severe Weather / Snow,1122698,05:31:10 pm — 05:33:30 pm,17:31:10,17:33:30,140,"(Studio: Tom Llamas)  Report introduced.  

(Studio: Sam Champion)  The Easter snow across the country featured; scenes shown of snow everywhere & car crashes.  [Three PEOPLE&nbsp- comment on snow.]  This fast-moving snowstorm discussed; weather maps shown.   ","['Tom Llamas', 'Sam Champion']"
ABC Evening News for 2018-04-01,ABC,2018-04-01,29 minutes long,Trump / Immigration,1122699,05:33:30 pm — 05:36:10 pm,17:33:30,17:36:10,160,"(Studio: Tom Llamas)  Report introduced.  

(West Palm Beach: Tara Palmeri)  President Trump's tirade about immigration featured; Trump tweet on DACA & Mexico & NAFTA quoted; details given about the DACA program.  [In Florida, TRUMP&nbsp- says people are taking advantage of DACA.]  [Aug. 2016, presidential candidate TRUMP&nbsp- promises to terminate amnesties.]  [Twice, President TRUMP&nbsp- backs DACA deals.]  The prospects for a legal battle over DACA that could go to the Supreme Court discussed. ","['Tom Llamas', 'Tara Palmeri']"
ABC Evening News for 2018-04-01,ABC,2018-04-01,29 minutes long,"Sacramento, California / Police Shooting",1122700,05:36:10 pm — 05:38:30 pm,17:36:10,17:38:30,140,"(Studio: Tom Llamas)  Report introduced.  

(Sacramento, California: Zachary Kiesch)  The protests in Sacramento, California, after the police shooting death of Stephon Clark featured; scenes shown of a police car hitting a protesting grandmother, police video of the shooting.  [At Baltimore rally, WOMAN&nbsp- speaks about the killing of unarmed black men.]  The Freddie Gray death in Baltimore in 2015 recalled.  [Sacramento PROTESTER&nbsp- speaks out.]  The medical condition of the woman struck by the police car discussed. ","['Tom Llamas', 'Zachary Kiesch']"
ABC Evening News for 2018-04-01,ABC,2018-04-01,29 minutes long,Plane Landing,1122701,05:38:30 pm — 05:39:40 pm,17:38:30,17:39:40,70,"(Studio: Tom Llamas)  Report introduced.  

(New York: Adrienne Bankert)  The emergency landing of a Delta plane at the New York City airport shortly after takeoff reviewed; pilot audio about a bird strike played; bird strike statistics cited.  [Retired USMC Col. Stephen GANYARD- cites the bird strike problem for planes.] ","['Tom Llamas', 'Adrienne Bankert']"
ABC Evening News for 2018-04-01,ABC,2018-04-01,29 minutes long,Teachers Strikes,1122702,05:39:40 pm — 05:41:40 pm,17:39:40,17:41:40,120,"(Studio: Tom Llamas)  Report introduced.  

(New York: Erielle Reshef)  The strikes by teachers in at least four states after a successful strike in West Virginia featured; demonstrations shown; details given about teachers' issues.  [Kentucky Education Assn. president Stephanie WINKLER, Kentucky TEACHER, Kansas teacher Susan SIMMONS, Oklahoma teacher Debara MANNING, Arizona TEACHER&nbsp- comment on the issue.] ","['Tom Llamas', 'Erielle Reshef']"
ABC Evening News for 2018-04-01,ABC,2018-04-01,29 minutes long,North Korea-South Korea Relations,1122703,05:41:40 pm — 05:42:00 pm,17:41:40,17:42:00,20,(Studio: Tom Llamas)  A rare appearance by North Korean leader Kim Jung Un at a South Korean pop concert in Pyongyang shown. ,['Tom Llamas']
ABC Evening News for 2018-04-01,ABC,2018-04-01,29 minutes long,Easter / Vatican,1122704,05:42:00 pm — 05:42:20 pm,17:42:00,17:42:20,20,(Studio: Tom Llamas)  The celebration of Easter at the Vatican where the pope called for peace reported. ,['Tom Llamas']
ABC Evening News for 2018-04-01,ABC,2018-04-01,29 minutes long,Space: China Space Station,1122705,05:42:20 pm — 05:44:20 pm,17:42:20,17:44:20,120,"(Studio: Tom Llamas)  Report introduced.  

(Los Angeles: Whit Johnson)  The tracking of a Chinese space satellite that will strike the Earth featured; animated diagram of the path of entry shown.  [Aerospace Corp. engineer Dr. Roger THOMPSON&nbsp- talks about likely reentry sites.]  The Science Guy Bill NYE- talks about debris from outer space.]  What you would see if you could see the reentry discussed. ","['Tom Llamas', 'Whit Johnson']"
ABC Evening News for 2018-04-01,ABC,2018-04-01,29 minutes long,Upcoming Items & COMMERCIALS: Dr. Scholl's; Digestive Advantage; Eliquis; Maxwell House.,1122706,05:44:20 pm — 05:47:00 pm,17:44:20,17:47:00,160,,[]
